year,prompt,number,tool,image_url
2022,Day 1 (Part to whole),01,R,https://raw.githubusercontent.com/nrennie/30DayChartChallenge/refs/heads/main/2022/viz/day_01.jpg
2022,Day 2 (Pictogram),02,R,https://raw.githubusercontent.com/nrennie/30DayChartChallenge/refs/heads/main/2022/viz/day_02.jpg
2022,Day 3 (Historical),03,R,https://raw.githubusercontent.com/nrennie/30DayChartChallenge/refs/heads/main/2022/viz/day_03.jpg
2022,Day 4 (Flora),04,Tableau  and R ,https://raw.githubusercontent.com/nrennie/30DayChartChallenge/refs/heads/main/2022/viz/day_04.png
2022,Day 5 (Slope),05,R,https://raw.githubusercontent.com/nrennie/30DayChartChallenge/refs/heads/main/2022/viz/day_05.png
2022,Day 6 (Our World in Data),06,R,https://raw.githubusercontent.com/nrennie/30DayChartChallenge/refs/heads/main/2022/viz/day_06.jpg
2022,Day 7 (Physical),07,R,https://raw.githubusercontent.com/nrennie/30DayChartChallenge/refs/heads/main/2022/viz/day_07.jpg
2022,Day 8 (Mountains),08,Figma,https://raw.githubusercontent.com/nrennie/30DayChartChallenge/refs/heads/main/2022/viz/day_08.png
2022,Day 9 (Statistics),09,R,https://raw.githubusercontent.com/nrennie/30DayChartChallenge/refs/heads/main/2022/viz/day_09.png
2022,Day 10 (Experimental),10,R,https://raw.githubusercontent.com/nrennie/30DayChartChallenge/refs/heads/main/2022/viz/day_10.jpg
2022,Day 11 (Circular),11,R,https://raw.githubusercontent.com/nrennie/30DayChartChallenge/refs/heads/main/2022/viz/day_11.jpg
2022,Day 12 (The Economist),12,R,https://raw.githubusercontent.com/nrennie/30DayChartChallenge/refs/heads/main/2022/viz/day_12.png
2022,Day 13 (Correlation),13,R,https://raw.githubusercontent.com/nrennie/30DayChartChallenge/refs/heads/main/2022/viz/day_13.png
2022,Day 14 (3-Dimensional),14,Python and R,https://raw.githubusercontent.com/nrennie/30DayChartChallenge/refs/heads/main/2022/viz/day_14.png
2022,Day 15 (Multivariate),15,R,https://raw.githubusercontent.com/nrennie/30DayChartChallenge/refs/heads/main/2022/viz/day_15.jpg
